Date,Typedejour,Energie,Tmax
12/10/2013,7,45497.64342,30
13/10/2013,1,41808.72469,29
14/10/2013,2,40790.70637,28
15/10/2013,3,35047.92465,29
16/10/2013,4,36264.01302,28
17/10/2013,5,43722.16619,30
18/10/2013,6,45827.5795,29
19/10/2013,7,45341.93773,30
20/10/2013,1,42132.9018,31
21/10/2013,2,47169.40198,31
22/10/2013,3,47556.37636,30
23/10/2013,4,48033.5012,31
24/10/2013,5,48167.79017,29
25/10/2013,6,47696.49109,29
26/10/2013,7,45491.03441,28
27/10/2013,1,41194.37528,29
28/10/2013,2,46437.1929,30
29/10/2013,3,46639.27968,30
30/10/2013,4,45898.38441,27
31/10/2013,5,45285.7515899999,26
01/11/2013,6,43974.938,26
02/11/2013,7,42145.57745,25
03/11/2013,1,37553.0059,28
04/11/2013,2,42365.11262,28
05/11/2013,3,39117.106,22
06/11/2013,4,43063.0623,24
07/11/2013,5,44273.83834,27
08/11/2013,6,44624.78939,28
09/11/2013,7,42403.53075,25
10/11/2013,1,37765.61101,21
11/11/2013,2,40786.47363,18
12/11/2013,3,41421.98681,18
13/11/2013,4,41911.79705,19
14/11/2013,5,41830.35479,21
15/11/2013,6,42208.33125,19
16/11/2013,7,39978.30219,22
17/11/2013,1,36994.89051,24
18/11/2013,2,41829.16224,24
19/11/2013,3,41999.13262,22
20/11/2013,4,42471.27393,21
21/11/2013,5,42668.45192,18
22/11/2013,6,42741.53351,20
23/11/2013,7,41174.48356,17
24/11/2013,1,38748.40289,16
25/11/2013,2,44086.23328,17
26/11/2013,3,45454.79441,15
27/11/2013,4,45135.62917,15
28/11/2013,5,45595.01324,16
29/11/2013,6,46488.81795,15
30/11/2013,7,44635.57319,14
01/12/2013,1,41543.74496,13
02/12/2013,2,46989.35191,16
03/12/2013,3,47112.75939,18
04/12/2013,4,48031.38049,17
05/12/2013,5,46153.83342,18
06/12/2013,6,46700.82037,16
07/12/2013,7,44439.72863,17
08/12/2013,1,40870.01786,18
09/12/2013,2,45637.69543,19
10/12/2013,3,47145.59152,18
11/12/2013,4,47175.51198,19
12/12/2013,5,46472.2643099999,18
13/12/2013,6,46623.50231,18
14/12/2013,7,44200.0395,18
15/12/2013,1,41084.03008,18
16/12/2013,2,46436.24019,18
17/12/2013,3,46904.45219,18
18/12/2013,4,46965.9899399999,18
19/12/2013,5,46711.42726,17
20/12/2013,6,46619.91078,18
21/12/2013,7,43643.05752,18
22/12/2013,1,39779.44204,16
23/12/2013,2,43359.80576,18
24/12/2013,3,43798.95048,18
25/12/2013,4,43835.32349,20
26/12/2013,5,45054.62924,16
27/12/2013,6,45099.61143,16
28/12/2013,7,42042.65979,18
29/12/2013,1,39716.0331,16
30/12/2013,2,44408.09906,15
31/12/2013,3,43829.84429,16
01/01/2014,4,39207.92186,18
02/01/2014,5,44509.33177,18
03/01/2014,6,43979.46848,20
04/01/2014,7,42030.94145,22
05/01/2014,1,39663.99944,16
06/01/2014,2,44999.879,17
07/01/2014,3,45472.3506,18
08/01/2014,4,45843.08641,18
09/01/2014,5,45459.01131,19
10/01/2014,6,45346.65624,22
11/01/2014,7,42705.88854,20
12/01/2014,1,39158.32218,18
13/01/2014,2,37913.4396399999,19
14/01/2014,3,40243.01734,14
15/01/2014,4,44449.16349,17
16/01/2014,5,44829.63044,17
17/01/2014,6,45343.46603,20
18/01/2014,7,42688.6806,21
19/01/2014,1,38879.25166,21
20/01/2014,2,44270.29323,17
21/01/2014,3,45912.72444,14
22/01/2014,4,45589.93399,18
23/01/2014,5,46542.17884,17
24/01/2014,6,46230.10087,16
25/01/2014,7,43757.10091,15
26/01/2014,1,39942.98543,18
27/01/2014,2,45485.28245,17
28/01/2014,3,46705.59276,13
29/01/2014,4,45909.36458,17
30/01/2014,5,46316.89523,18
31/01/2014,6,47058.74007,13
01/02/2014,7,42896.1109,16
02/02/2014,1,39685.91803,17
03/02/2014,2,44703.03245,16
04/02/2014,3,46364.7708,17
05/02/2014,4,46548.97529,18
06/02/2014,5,45251.5646,20
07/02/2014,6,44631.63033,22
08/02/2014,7,42300.68204,17
09/02/2014,1,38956.32075,19
10/02/2014,2,44065.67167,22
11/02/2014,3,46113.26071,14
12/02/2014,4,46168.20552,16
13/02/2014,5,45161.13865,20
14/02/2014,6,44570.59636,23
15/02/2014,7,41390.24229,25
16/02/2014,1,37526.65079,26
17/02/2014,2,41774.21537,27
18/02/2014,3,43134.53101,24
19/02/2014,4,43427.48216,20
20/02/2014,5,44766.48843,15
21/02/2014,6,43743.81501,19
22/02/2014,7,41902.82562,18
23/02/2014,1,37399.84446,17
24/02/2014,2,42376.4802,18
25/02/2014,3,43578.9904,19
26/02/2014,4,44085.44836,19
27/02/2014,5,44669.49307,17
28/02/2014,6,44024.02194,18
01/03/2014,7,42500.09622,14
02/03/2014,1,38675.97356,17
03/03/2014,2,44226.91617,19
04/03/2014,3,46262.49872,12
05/03/2014,4,46414.25526,15
06/03/2014,5,46315.20102,17
07/03/2014,6,46349.71959,17
08/03/2014,7,42672.73105,18
09/03/2014,1,39364.05627,17
10/03/2014,2,43522.97893,16
11/03/2014,3,43722.85057,16
12/03/2014,4,43701.85844,18
13/03/2014,5,45295.14017,15
14/03/2014,6,44642.33544,15
15/03/2014,7,41721.90849,18
16/03/2014,1,36423.78787,18
17/03/2014,2,41066.13223,21
18/03/2014,3,41196.15558,23
19/03/2014,4,40592.19664,22
20/03/2014,5,37728.6636,21
21/03/2014,6,40864.19922,21
22/03/2014,7,38652.75996,22
23/03/2014,1,35347.83461,23
24/03/2014,2,40307.37833,19
25/03/2014,3,42645.93382,16
26/03/2014,4,43772.52194,17
27/03/2014,5,43808.09983,17
28/03/2014,6,43232.2547,20
29/03/2014,7,41348.47029,18
30/03/2014,1,38830.47556,18
31/03/2014,2,42666.07858,19
01/04/2014,3,41685.35874,23
02/04/2014,4,41962.50247,24
03/04/2014,5,42925.11148,25
04/04/2014,6,43329.98656,22
05/04/2014,7,41620.41065,21
06/04/2014,1,38282.5888,21
07/04/2014,2,42136.93215,23
08/04/2014,3,43058.63337,25
09/04/2014,4,42353.76544,25
10/04/2014,5,43224.20573,21
11/04/2014,6,43130.43568,24
12/04/2014,7,41042.29677,25
13/04/2014,1,37482.12209,22
14/04/2014,2,42333.50926,21
15/04/2014,3,43354.59986,24
16/04/2014,4,43576.00112,20
17/04/2014,5,43558.14853,19
18/04/2014,6,43005.30673,22
19/04/2014,7,40932.06533,30
20/04/2014,1,38343.81852,25
21/04/2014,2,43097.23193,27
22/04/2014,3,43943.25325,22
23/04/2014,4,42456.45661,23
24/04/2014,5,43877.07344,26
25/04/2014,6,44207.99193,28
26/04/2014,7,41023.45449,20
27/04/2014,1,37922.52775,24
28/04/2014,2,42219.27344,22
29/04/2014,3,43629.43665,24
30/04/2014,4,44428.5,25
01/05/2014,5,40038.02259,24
02/05/2014,6,43203.90649,25
03/05/2014,7,40896.6506,21
04/05/2014,1,37464.33925,21
05/05/2014,2,42245.14837,23
06/05/2014,3,43857.40382,23
07/05/2014,4,44740.14361,29
08/05/2014,5,44990.34389,24
09/05/2014,6,44848.09698,26
10/05/2014,7,42311.66636,29
11/05/2014,1,39256.20513,30
12/05/2014,2,44995.41095,28
13/05/2014,3,46933.80431,33
14/05/2014,4,46355.38167,22
15/05/2014,5,45865.10083,23
16/05/2014,6,45004.87344,23
17/05/2014,7,42896.46976,26
18/05/2014,1,39622.3632,22
19/05/2014,2,45141.51848,28
20/05/2014,3,45467.64541,27
21/05/2014,4,46947.86166,27
22/05/2014,5,47004.95982,28
23/05/2014,6,45822.56074,24
24/05/2014,7,43952.66517,24
25/05/2014,1,40590.19555,26
26/05/2014,2,46612.57274,26
27/05/2014,3,46511.63544,26
28/05/2014,4,45967.32429,22
29/05/2014,5,44608.13296,27
30/05/2014,6,45655.37365,27
31/05/2014,7,44168.00593,27
01/06/2014,1,39537.37788,24
02/06/2014,2,44376.22597,25
03/06/2014,3,43936.85572,26
04/06/2014,4,45801.89781,27
05/06/2014,5,47405.38869,34
06/06/2014,6,49614.72299,36
07/06/2014,7,48745.64119,34
